url,category,title,author,description,date,place,date_from,date_to
/cer1,CRISE DE L’ÉGLISE,LA QUESTION DU PAPE,M. l’abbé J.-C. CERIANI,Session d’étude.,12 - 17.07.1993,Flavigny,12.07.1993,17.07.1993
/ch10,CRISE DE L’ÉGLISE,LE COMBAT DOCTRINAL DANS CETTE CRISE POST-CONCILIAIRE,M. l’abbé E. du CHALARD,,12.01.1992,Paris,12.01.1992,
/CR1,CRISE DE L’ÉGLISE,"NI SCHISMATIQUES, NI EXCOMMUNIÉS","Articles du ""Courrier de Rome"" N° 95",,09.1988,,01.09.1988,30.09.1988
/CR2,CRISE DE L’ÉGLISE,"UNE EXCOMMUNICATION SANS FONDEMENT CANONIQUE – LA TRADITION, LE CONCILE ET LES “TRADITIONALISTES”","Articles du ""Courrier de Rome"" N° 101","Déclaration de Monseigneur de Castro Mayer à l’occasion des Sacres du 30 juin 1988.
Éclaircissements sur les Sacres par les théologiens de Monseigneur de Castro Mayer",03.1989,,01.03.1989,31.03.1989
/EMM2,CRISE DE L’ÉGLISE,LA PAROLE DE DIEU DANS LA VIE DE L’ÉGLISE : L’ESPRIT DE LA NOUVELLE EXÉGÈSE SELON “DEI VERBUM”,Rév. père Emmanuel-Marie,"4èmeCongrès théologique de sì sì no no
Bilan et perspectives pour une vraie restauration de l’Église.",03 - 05.08.2000,Rome,03.08.2000,05.08.2000
/epi08,CRISE DE L’ÉGLISE,20 ANS D’EXCLUSION : 20 ANS DE FIDÉLITÉ,M. l’abbé P. EPINEY,,22.06.1995,Riddes,22.06.1995,
/epi04,CRISE DE L’ÉGLISE,40 ANS APRÈS L’ANNONCE DU CONCILE VATICAN II : OÙ VA L’ÉGLISE ?,M. l’abbé P. EPINEY,,22.02.1999,Riddes,22.02.1999,
/ga05,CRISE DE L’ÉGLISE,L'ÉGLISE EST COMME ÉCLIPSÉE : CE SONT LES TÉNÈBRES,Mgr A. de GALARRETA,Ordinations sacerdotales et Diaconat.,27.06.1997,"Séminaire Inter. St Pie X, Écône",27.06.1997,
/ga06,CRISE DE L’ÉGLISE,LE POINT DE LA SITUATION DANS L'ÉGLISE,Mgr A. de GALARRETA,Conférence aux Amis et Bienfaiteurs.,21.11.1992,"Séminaire Inter. St Pie X, Écône",21.11.1992,
/HSM1,CRISE DE L’ÉGLISE,LA DIGNITÉ HUMAINE AU CONCILE,M. l’abbé H. DE-SAINTE-MARIE,2ème Congrès de sì sì no no :«L’Œcuménisme».,21 - 24.04.1998,"Albano, Rome",21.04.1998,24.04.1998
/jo15,CRISE DE L’ÉGLISE,CONGAR ET LE CONCILE,M. l’abbé B. de JORNA,"IIème Congrès théologique de sì sì no no
«Les problèmes posés à la conscience catholique par le dernier Concile».",2 - 5.01.1996,"Albano, Rome",02.01.1996,05.01.1996
/jo13,CRISE DE L’ÉGLISE,"L'ÉGLISE CONCILIAIRE, TÉMOIN DE JAHVÉ. ÉTUDE ACTUALISÉE DE L'ENCYCLIQUE VEHEMENTER (4)",M. l’abbé B. de JORNA,Sur la séparation de l’Église et de l’État.,02.05.1994,"Institut Uni. St Pie X, Paris",02.05.1994,
/jo11,CRISE DE L’ÉGLISE,L'ÉGLISE DANS TOUS SES ÉTATS.,M. l’abbé B. de JORNA,"Étude actualisée de l’encyclique Vehementer
Sur la séparation de l’Église et de l’État.",07.03.1994,"Institut Universitaire St Pie X, Paris",07.03.1994,
/j016,CRISE DE L’ÉGLISE,L’AN 2000 VU PAR JEAN-PAUL II,M. l’abbé B. de JORNA,,29.04.1996,"Institut Universitaire St-Grégoire le Grand, Lyon",29.04.1996,
/jo17,CRISE DE L’ÉGLISE,RÉAGIR À LA CRISE UNIVERSELLE DE LA FOI,M. l’abbé B. de JORNA,"La crise de la foi n’est-elle pas due à une crise de l’intelligence ? Si la foi est si difficile à répandre de nos jours, c’est que son support, l’intelligence, est malade. Notre intelligence devient incapable d’expliquer ce que la foi nous fait croire. Tel est aussi le cas du magistère. Et ceci est visible dans le livre de Jean-Paul II, comme nous le montre l’abbé de Jorna, après un exposé sur les principes de la connaissance et son rapport avec la foi.",26.10.199,Versailles,26.10.199,
/LAR1,CRISE DE L’ÉGLISE,LA THÉOLOGIE DE JEAN-PAUL II ET L’ESPRIT D’ASSISE,M. l’abbé LAROCHE,Extraits du livre du professeur Hörmann.,19.04.1993,Le Treilhou,19.04.1993,
/las09,CRISE DE L’ÉGLISE,LE RENOUVEAU CHARISMATIQUE,M. A. de LASSUS,,13.01.2005,Rennes,13.01.2005,
/las02,CRISE DE L’ÉGLISE,VATICAN II : RUPTURE OU CONTINUITÉ ?,M. A. de LASSUS,Avec l’auteur du Cercle d’Études Catholiques “Christus Rex”.,11.11.1993,"Lauzon, Canada",11.11.1993,
/le25,CRISE DE L’ÉGLISE,20 ANS DE LA FRATERNITÉ : LE PRÊTRE EST ESSENTIELLEMENT L'HOMME DU SACRIFICE,Mgr M. LEFEBVRE,,29.04.1990,Friedrichshafen,29.04.1990,
/lov14,CRISE DE L’ÉGLISE,ANALYSE DE LA SITUATION ACTUELLE DANS L’ÉGLISE,M. l’abbe Philippe LOVEY,"Recollection, Sion, le 30 novembre 2003
– Un grand mal dans l’Église : l’ignorance des choses de Dieu qui conduit au relativisme
– Le Card. Kasper à la pointe du modernisme
– La Tradition d’après le Card. Medina
– Un trésor sans prix : la liturgie.",30.11.2003,Sion,30.11.2003,
/lov10,CRISE DE L’ÉGLISE,LES SCHÉMAS PRÉPARATOIRES,M. l’abbé Ph. LOVEY,"IIème Congrès théologique de sì sì no no
«Les problèmes posés à la conscience catholique par le dernier Concile»",02 - 05.01.1996,"Albano, Rome",02.01.1996,05.01.1996
/MLE2,CRISE DE L’ÉGLISE,LE MAGISTÈRE ET LE CONCILE,M. l’abbé Ph. MARCILLE,"IIème Congrès théologique de sì sì no no
«Les problèmes posés à la conscience catholique par le dernier Concile»",02 - 05.01.1996,Albano – Rome,02.01.1996,05.01.1996
/MUR1,CRISE DE L’ÉGLISE,LES SACRES DU 30 JUIN 1988,M. l’abbé G. MURA,Session d’étude.,09 - 14.07.1990,Flavigny,09.07.1990,14.07.1990
/MUR2,CRISE DE L’ÉGLISE,LES SACRES ÉPISCOPAUX DU 30 JUIN 1988,M. l’abbé MURA,"Étude théologique
D’après le texte paru dans Le Sel de la Terre (N° 4-5-7-8). Avec l’autorisation du Cercle d’Études Catholique “Christus Rex”.",1995,"Lauzon, Canada",01.01.1995,31.12.1995
/PF1,CRISE DE L’ÉGLISE,L’INFLUENCE DES THÉOLOGIENS ALLEMANDS AU CONCILE,M. l’abbé N. PFLUGER,"IIème Congrès théologique de sì sì no no
«Les problèmes posés à la conscience catholique par le dernier Concile».",02 - 05.01.1996,"Albano, Rome",02.01.1996,05.01.1996
/PM3,CRISE DE L’ÉGLISE,L'UNITÉ DE L'ÉGLISE DANS LA THÉOLOGIE CATHOLIQUE ET DANS LA “THÉOLOGIE” CONCILIAIRE,Rév. père Pierre-Marie O.P.,"IIIème Congrès théologique de sì sì no no
«L’Œcuménisme»",21 - 24.04.1998,"Albano,Rome",21.04.1998,24.04.1998
/PM2,CRISE DE L’ÉGLISE,L’AUTORITÉ DU CONCILE,Rév. père Pierre-Marie O.P.,IIème Congrès théologique de sì sì no no.,02 - 05.01.1996,"Albano, Rome",02.01.1996,05.01.1996
/RE4,CRISE DE L’ÉGLISE,LE NOUVEAU RITUEL DE LA MESSE PAR RAPPORT À L’ANCIEN,Mme M. REBOUL,Excellente analyse comparative des deux textes.,1990,"Paris, Université d’été",01.01.1990,31.12.1990
/RE6,CRISE DE L’ÉGLISE,LES PAPES DU CONCILE – DE JEAN XXIII À JEAN-PAUL II,Mme M. REBOUL,,10.12.1995,Caussade “Le Treilhou”,10.12.1995,
/ROC1,CRISE DE L’ÉGLISE,LA PAPAUTÉ COURT LE RISQUE DU XXIème SIÈCLE,M. l’abbé de la ROCQUE,"4ème Congrès théologique de sì sì no no
Bilan et perspectives pour une vraie restauration de l’Église.",03 - 05.08.2000,Rome,03.08.2000,05.08.2000
/s05,CRISE DE L’ÉGLISE,LES PROTESTANTS ET LE CONCILE,M. l’abbé F. SCHMIDBERGER,IIème Congrès théologique de sì sì no no : «Les problèmes posés à la conscience catholique par le dernier Concile»,02 - 05.01.1996,"Albano, Rome",02.01.1996,05.01.1996
/SA6,CRISE DE L’ÉGLISE,"“2000 ANS DE CHRISTIANISME, QUESTION ACTUELLES",M. J. SAIGNOL,IIème Colloque de l’Institut Saint Grégoire le Grand.,18.03.2000,"Instit. St-Grégoire le Grand, Lyon",18.03.2000,
/si25,CRISE DE L’ÉGLISE,1988 : LE SCHISME INTROUVABLE,M. l’abbé M. SIMOULIN,"Sur les sacres de 1988
C’est la synthèse de tout ce qui a été écrit sur ce sujet. Indispensable pour avoir une vue objective de la situation.",17.03.1997,"Instit. St-Grégoire le Grand, Lyon",17.03.1997,
/si26,CRISE DE L’ÉGLISE,ANALYSE THÉOLOGIQUE DU NOVUS ORDO MISSAE,M. l’abbé M. SIMOULIN,,05.05.1986,,05.05.1986,
/si81,CRISE DE L’ÉGLISE,LE NOUVEAU CATECHISME EST-IL CATHOLIQUE ?,M. l’abbé M. SIMOULIN,,17.01.1993,Écône,17.01.1993,
/si36,CRISE DE L’ÉGLISE,LES LETTRES DES ÉVÊQUES À JEAN XXIII,M. l’abbé M. SIMOULIN,"IIème Congrès théologique de sì sì no no
«Les problèmes posés à la conscience catholique par le dernier Concile».",02 - 05.01.1996,"Albano, Rome",02.01.1996,05.01.1996
/t04,CRISE DE L’ÉGLISE,LA PSEUDO-RESTAURATION DU CARDINAL RATZINGER ET LES HYPOTÈSES FUTURES,M. l’abbé G.-M. TAM,,22.08.1994,Sion,22.08.1994,
/tis21,CRISE DE L’ÉGLISE,L’ESPRIT DE LA FRATERNITÉ SACERDOTALE SAINT PIE X,Mgr B. TISSIER DE MALLERAIS,,2012,,01.01.2012,31.12.2012
/tis03,CRISE DE L’ÉGLISE,LA LIBERTÉ RELIGIEUSE DU CONCILE VATICAN II,Mgr B. TISSIER DE MALLERAIS,Session d’étude.,10 - 17.07.1989,Flavigny,10.07.1989,17.07.1989
/tr65,CRISE DE L’ÉGLISE,LA FRATERNITÉ SAINT PIE X,M. l’abbé P. TROADEC,Retraite de vie Chrétienne. Conférence no 16.,25 - 30.07.2004,Flavigny,25.07.2004,30.07.2004
/tr15,CRISE DE L’ÉGLISE,LA NOUVELLE MESSE,M. l’abbé P. TROADEC,,05.06.1995,"Institut St-Grégoire le Grand, Lyon",05.06.1995,
/tr70,CRISE DE L’ÉGLISE,LA NOUVELLE MESSE,M. l’abbé P. TROADEC,Retraite de vie Chrétienne. Conférence no 15.,23 - 29.07.2005,Flavigny,23.07.2005,29.07.2005
/tr01,CRISE DE L’ÉGLISE,"LE CONCILE VATICAN II, RUPTURE OU CONTINUITÉ ?",M. l’abbé P. TROADEC,,03.12.1989,"Instit. St-Grégoire le Grand, Lyon",03.12.1989,
/wi05,CRISE DE L’ÉGLISE,L’AMÉRICANISME ET LE CONCILE,Mgr R. WILLIAMSON,IIème congrès théologique de sì sì no no “Les problèmes posés à la conscience catholiques par le dernier Concile”.,02 - 05.05.1996,"Albano, Rome",02.05.1996,05.05.1996
/BAUD12,DOCTRINE,DIEU ET LES PERFECTIONS DIVINES,M. l’abbé BAUDOT,Retraite de vie chrétienne.,23 - 29.07.2005,Flavigny,23.07.2005,29.07.2005
/BAUD16,DOCTRINE,DIEU ET LES PERFECTIONS DIVINES,M. l’abbé BAUDOT,Retraite de vie chrétienne.,23 - 29.07.2005,Flavigny,23.07.2005,29.07.2005
/baud01,DOCTRINE,DIEU ET LES PERFECTIONS DIVINES – LA GRÂCE,M. l’abbé BAUDOT,"Retraites de vie chrétienne
1999 - 2000 - 2001 - 2003 - 2008 - 2009",07.2009,Flavigny,01.07.2009,31.07.2009
/baud09,DOCTRINE,LA CONFESION,M. l’abbé BAUDOT,Retraite de vie chrétienne.,1999 - 2005,Flavigny,,31.12.2005
/BAUD17,DOCTRINE,LA GRÂCE,M. l’abbé BAUDOT,Retraite de vie chrétienne.,21 - 27.07.2007,Flavigny,21.07.2007,27.07.2007
/BAUD25,DOCTRINE,LA VERTU DE FORCE – CONCLUSION DE RETRAITE,M. l’abbé BAUDOT,Retraite de vie chrétienne.,18 - 24.07.2009,Flavigny,18.07.2009,24.07.2009
/BAUD20,DOCTRINE,LE CIEL,M. l’abbé BAUDOT,Retraite de vie chrétienne.,22 - 28.07.2008,Flavigny,22.07.2008,28.07.2008
/BAUD13,DOCTRINE,LE COMBAT SPIRITUEL – CONCLUSION DE RETRAITE,M. l’abbé BAUDOT,Retraite de vie chrétienne.,23 - 29.07.2005,Flavigny,23.07.2005,29.07.2005
/BAUD24,DOCTRINE,LE PÉCHÉ,M. l’abbé BAUDOT,Retraite de vie chrétienne.,18 - 24.07.2009,Flavigny,18.07.2009,24.07.2009
/BAUD19,DOCTRINE,LE PÉCHÉ – LE BAPTÊME,M. l’abbé BAUDOT,Retraite de vie chrétienne.,22 - 28.07.2008,Flavigny,22.07.2008,28.07.2008
/BAUD14,DOCTRINE,LES VERTUS THÉOLOGALES – CONCLUSION DE RETRAITE,M. l’abbé BAUDOT,Retraite de vie chrétienne.,23 - 29.07.2005,Flavigny,23.07.2005,29.07.2005
/BAUD26,DOCTRINE,LES VERTUS THÉOLOGALES – LES DONS DU SAINT ESPRIT,M. l’abbé BAUDOT,Retraite de vie chrétienne.,18 - 24.07.2009,Flavigny,18.07.2009,24.07.2009
/beau02,DOCTRINE,LA CONNAISSANCE DE DIEU – LES VERTUS THÉOLOGALES,M. l’abbé BEAUBLAT,Retraite de vie chrétienne.,2000 - 2005,Flavigny,,31.12.2005
/beau07,DOCTRINE,LE PÉCHÉ,M. l’abbé BEAUBLAT,Retraite de vie chrétienne.,23 - 29.07.2005,Flavigny,23.07.2005,29.07.2005
/beau01,DOCTRINE,LE SACREMENT DE PÉNITENCE,M. l’abbé BEAUBLAT,Retraite de vie chrétienne.,2000 - 2005,Flavigny,,31.12.2005
/bour04,DOCTRINE,DIEU ET LES PERFECTIONS DIVINES,M. l’abbé BOURRAT,Retraite de vie chrétienne.,25 - 30.07.2003,Flavigny,25.07.2003,30.07.2003
/BOUR10,DOCTRINE,LA CONFESSION,M. l’abbé BOURRAT,Retraite de vie chrétienne.,22 - 28.07.2006,Flavigny,22.07.2006,28.07.2006
/bour09,DOCTRINE,LE PÉCHÉ,M. l’abbé BOURRAT,Retraite de vie chrétienne.,22 - 28.07.2006,Flavigny,22.07.2006,28.07.2006
/cer2,DOCTRINE,L'EXTRÊME-ONCTION,M. l'abbé J.-C. CERIANI,Session d’étude.,12 - 17.07.1993,Flavigny,12.07.1993,17.07.1993
/CHAT11,DOCTRINE,LA GRÂCE,M. l’abbé O. du CHATELET,Retraite de vie chrétienne.,26 - 31.07.1998,Pouilly-en-Auxois,26.07.1998,31.07.1998
/chat07,DOCTRINE,"LES VERTUS THÉOLOGALES : FOI, ESPÉRANCE, CHARITÉ",M. l’abbé O. du CHATELET,Retraite de vie chrétienne.,26 - 31.07.1998,Pouilly-en-Auxois,26.07.1998,31.07.1998
/fer01,DOCTRINE,DIEU ET LES PERFECTIONS DIVINES – LA GRÂCE,M. l’abbé FERNANDEZ,Retraite de vie chrétienne.,22 - 28.07.2001,Flavigny,22.07.2001,28.07.2001
/jj06,DOCTRINE,LA CONFESSION,Rév. père Jean-Joseph,Retraite de vie chrétienne.,23 - 29.07.2005,Flavigny,23.07.2005,29.07.2005
/jj14,DOCTRINE,LA CONFESSION,Rév. père Jean-Joseph,Retraite de vie chrétienne.,22 - 28.07.2008,Flavigny,22.07.2008,28.07.2008
/jj05,DOCTRINE,LE PÉCHÉ,Rév. père Jean-Joseph,Retraite de vie chrétienne.,23 - 29.07.2005,Flavigny,23.07.2005,29.07.2005
/jj02,DOCTRINE,LE PÉCHÉ – LE COMBAT SPIRITUEL,Rév. père Jean-Joseph,Retraite de vie chrétienne.,20 - 25.07.2003,Flavigny,20.07.2003,25.07.2003
/jj16,DOCTRINE,LES DONS DU SAINT-ESPRIT – L’ÉGLISE CATHOLIQUE,Rév. père Jean-Joseph,"Retraite de vie chrétienne
Conférence n° 6.",23 - 29.07.2005,Flavigny,23.07.2005,29.07.2005
/jj19,DOCTRINE,LES FINS DERNIÈRES,Rév. père Jean-Joseph,Retraite de vie chrétienne.,18 - 24.07.2009,Flavigny,18.07.2009,24.07.2009
/jj15,DOCTRINE,"LES VERTUS THÉOLOGALES : FOIS, ESPÉRANCE, CHARITÉ.",Rév. père Jean-Joseph,Retraite de vie chrétienne.,22 - 28.07.2008,Flavigny,22.07.2008,28.07.2008
/jj21,DOCTRINE,NOTRE APPARTENANCE À L’ÉGLISE CATHOLIQUE,Rév. père Jean-Joseph,Retraite de vie chrétienne.,18 - 24.07.2009,Flavigny,18.07.2009,24.07.2009
/jj09,DOCTRINE,PASSION ET CROIX DANS LA VIE CHRÉTIENNE,Rév. père Jean-Joseph,Retraite de vie chrétienne : conférence n° 12).,23 - 29.07.2005,Flavigny,23.07.2005,29.07.2005
/jo20,DOCTRINE,"LA CHARITÉ, SELON SAINT THOMAS D’AQUIN",M. l’abbé B. de JORNA,,05.06.2005,Monthey,05.06.2005,
/LAG1,DOCTRINE,VISIBILITÉ ET NOTES DE L’ÉGLISE,M. l’abbé D. LAGNEAU,Session d’étude.,10 - 17.07.1989,Flavigny,10.07.1989,17.07.1989
/LAI1,DOCTRINE,QU’EST-CE QUE LA FOI ?,M. l’abbé LAISNEY,,12.2.1995,"Lauzon, Canada",12.02.1995,
/lau4,DOCTRINE,LA GRÂCE,M. l’abbé LAURENÇON,Retraite de vie chrétienne.,18 - 24.07.2009,Flavigny,18.07.2009,24.07.2009
/lau3,DOCTRINE,NOTRE SEIGNEUR JÉSUS-CHRIST,M. l'abbé LAURENÇON,"Retraite de vie chrétienne, Flavigny 2009",18 - 24.07.2009,Flavigny,18.07.2009,24.07.2009
/lo10,DOCTRINE,"LE MAL (Questions philosophiques, réponses théologiques)",M. l’abbé A. LORANS,"Colloque de l’Institut Universitaire St Pie X
Questions philosophiques, réponses théologiques.",08.12.1990,"Institut Uni. St Pie X, Paris",08.12.1990,
/ma7,DOCTRINE,LE JUGEMENT UNIVERSEL.,Rev. Pere J.J. MARZIAC,"Pourquoi le jugement particulier ne suffit-il pas ?
Récollection à Riddes",30.11.1997,Riddes,30.11.1997,
/P3,DOCTRINE,LA DOCTRINE SOCIALE DE L’ÉGLISE EN FRANCE,M. H. PETIT,"4ème Congrès théologique de sì sì no no
Bilan et perspectives pour une vraie restauration de l’Église.",03 - 05.08.2000,Rome,03.08.2000,05.08.2000
/piv2,DOCTRINE,LA CONFESSION,M. l'abbé F. PIVERT,Session de théologie.,12 - 16.04.1994,Étoile du Matin,12.04.1994,16.04.1994
/PU1,DOCTRINE,"ANGES ET DÉMONS : QUI SONT-ILS, QUE PEUVENT-ILS ?",M. l’abbé D. PUGA,Six conférences de carême.,2008,"Sion, Chapelle Ste Famille",01.01.2008,31.12.2008
/quil6,DOCTRINE,LE SACREMENT DE PÉNITENCE,M. l'abbé V. QUILTON,"Conférences de Constantia,",2003 - 2004,Monthey,,31.12.2004
/rou5,DOCTRINE,LA SAINTE TRINITÉ - DIEU ET LES PERFECTIONS DIVINES,M. l'abbé D. ROUSSEAU,Retraite de vie chrétienne.,23 - 28.07.2008,Flavigny,23.07.2008,28.07.2008
/rs02,DOCTRINE,DIEU ET LES PERFECTIONS DIVINES,Retraite spirituelle 2015,"Retraite de vie chrétienne,
par M. l’abbé Baudot",25-31.07.2015,Flavigny,25.07.2015,31.07.2015
/rs08,DOCTRINE,LA CONFESSION,Retraite spirituelle 2015,"Retraite de vie chrétienne,
Par M. l’abbé Baudot",25-31.07.2015,Flavigny,25.07.2015,31.07.2015
/rs06,DOCTRINE,LA GRÂCE,Retraite spirituelle 2015,"Retraite de vie chrétienne,
par M. l’abbé Laurençon",25 - 31.07.2015,Flavigny,25.07.2015,31.07.2015
/rs03,DOCTRINE,LA SAINTE TRINITÉ,Retraite spirituelle 2015,"Retraite de vie chrétienne,
par M. l’abbé Baudot",25-31.07.2015,Flavigny,25.07.2015,31.07.2015
/rs07,DOCTRINE,LE BAPTÊME,Retraite spirituelle 2015,"Retraite de vie chrétienne,
Par M. l’abbé Laurençon",25 - 31.07.2015,Flavigny,25.07.2015,31.07.2015
/rs16,DOCTRINE,LES DONS DU SAINT-ESPRIT,Retraite spirituelle 2015,"Retraite spirituelle 2015,
par M. l’abbé Laurençon",25-31.07.2015,Flavigny,25.07.2015,31.07.2015
/rs10,DOCTRINE,LES VERTUS THÉOLOGALES,Retraite spirituelle 2015,"Retraite de vie chrétienne,
Par M. l’abbé Laurençon",25 - 31.07.2015,Flavigny,25.07.2015,31.07.2015
/rs22,DOCTRINE,RENOUVELLEMENT DES PROMESSES DU BAPTÊME,Retraite spirituelle 2015,"Retraite de vie chrétienne,
Par M. l’abbé Patrick Troadec",25 - 31.07.2015,Flavigny,25.07.2015,31.07.2015
/SEGUR1,DOCTRINE,L’ENFER (Lecture du livret de don Tomaselli),Mgr DE SEGUR,,,,,
/si69,DOCTRINE,ANGES ET DÉMONS (1),M. l’abbé M. SIMOULIN,"Les anges, existence, création, péché. Série de 7 conférences.",16.10.1994 au 15.10.1995,Écône,,
/si70,DOCTRINE,ANGES ET DÉMONS (2),M. l’abbé M. SIMOULIN,L’action des Esprits. Série de 7 conférences.,16.10.1994 au 15.10.1995,Écône,,
/si71,DOCTRINE,ANGES ET DÉMONS (3),M. l’abbé M. SIMOULIN,Les Anges Gardiens. Série de 7 conférences.,16.10.1994 au 15.10.1995,Écône,,
/si72,DOCTRINE,ANGES ET DÉMONS (4),M. l’abbé M. SIMOULIN,"Les démons, nature et pouvoirs. Série de 7 conférences.",16.10.1994 au 15.10.1995,Écône,,
/si73,DOCTRINE,ANGES ET DÉMONS (5),M. l’abbé M. SIMOULIN,Le démon et la superstition. Série de 7 conférences.,16.10.1994 au 15.10.1995,Écône,,
